STT,Từ mới,Phiên âm,Giải thích,Ví dụ (chữ hán),Phiên âm,Dịch
136,可爱,kě'ài,đáng yêu,这只猫很可爱。,Zhè zhǐ māo hěn kě'ài.,Con mèo này rất dễ thương.
137,刻,kè,khắc (15 phút),八点一刻我来。,Bā diǎn yí kè wǒ lái.,8 giờ 15 phút tôi tới.
138,客人,kèrén,khách,客人已经来了。,Kèrén yǐjīng lái le.,Khách đã đến rồi.
139,空调,kòngtiáo,máy điều hòa,房间里有空调。,Fángjiān lǐ yǒu kòngtiáo.,Trong phòng có điều hòa.
140,口,kǒu,"miệng, khẩu",瓶子口上贴着一张纸。,Píngzi kǒu shàng tiē zhe yì zhāng zhǐ.,Trên miệng chai có dán 1 tờ giấy.
141,哭,kū,khóc,孩子们在哭。,Háizimen zài kū.,Bọn trẻ đang khóc.
142,裤子,kùzi,quần,他穿了一条新裤子。,Tā chuān le yī tiáo xīn kùzi.,Anh ấy mặc một chiếc quần mới.
143,筷子,kuàizi,đũa,我用筷子吃饭。,Wǒ yòng kuàizi chīfàn.,Tôi dùng đũa để ăn cơm.
144,蓝,lán,màu xanh,天空是蓝色的。,Tiānkōng shì lánsè de.,Bầu trời màu xanh.
145,老,lǎo,"già, cũ",他是个老朋友。,Tā shì gè lǎo péngyǒu.,Anh ấy là bạn cũ.
146,离开,líkāi,rời khỏi,他已经离开了。,Tā yǐjīng líkāi le.,Anh ấy đã rời đi rồi.
147,礼物,lǐwù,quà,这是我的生日礼物。,Zhè shì wǒ de shēngrì lǐwù.,Đây là quà sinh nhật của tôi.
148,历史,lìshǐ,lịch sử,他喜欢学习历史。,Tā xǐhuān xuéxí lìshǐ.,Anh ấy thích học lịch sử.
149,脸,liǎn,mặt,她的脸很漂亮。,Tā de liǎn hěn piàoliang.,Khuôn mặt cô ấy rất đẹp.
150,练习,liànxí,luyện tập,我每天练习中文。,Wǒ měitiān liànxí Zhōngwén.,Tôi luyện tập tiếng Trung mỗi ngày.
151,辆,liàng,chiếc (xe),他有一辆新车。,Tā yǒu yī liàng xīn chē.,Anh ấy có một chiếc xe mới.
152,了解,liǎojiě,hiểu rõ,我了解你的意思。,Wǒ liǎojiě nǐ de yìsi.,Tôi hiểu ý của bạn.
153,邻居,línjū,hàng xóm,我的邻居很友好。,Wǒ de línjū hěn yǒuhǎo.,Hàng xóm của tôi rất thân thiện.
154,楼,lóu,tòa nhà,我们住在三楼。,Wǒmen zhù zài sān lóu.,Chúng tôi sống ở tầng ba.
155,马,mǎ,con ngựa,马跑得很快。,Mǎ pǎo de hěn kuài.,Con ngựa chạy rất nhanh.
156,马上,mǎshàng,ngay lập tức,我马上就来。,Wǒ mǎshàng jiù lái.,Tôi sẽ đến ngay.
157,满意,mǎnyì,hài lòng,我对结果很满意。,Wǒ duì jiéguǒ hěn mǎnyì.,Tôi rất hài lòng với kết quả.
158,帽子,màozi,mũ,这顶帽子很漂亮。,Zhè dǐng màozi hěn piàoliang.,Chiếc mũ này rất đẹp.
159,米,mǐ,"gạo, mét",我吃了一碗米饭。,Wǒ chī le yī wǎn mǐfàn.,Tôi đã ăn một bát cơm.
160,面包,miànbāo,bánh mì,我每天早餐都吃面包。,Wǒ měitiān zǎocān dōu chī miànbāo.,Tôi ăn bánh mì vào bữa sáng mỗi ngày.
161,面条,miàntiáo,mì sợi,他喜欢吃面条。,Tā xǐhuān chī miàntiáo.,Anh ấy thích ăn mì.
162,明白,míngbái,hiểu rõ,我明白你的意思。,Wǒ míngbái nǐ de yìsi.,Tôi hiểu ý của bạn.
163,拿,ná,"cầm, lấy",请你帮我拿一下书。,Qǐng nǐ bāng wǒ ná yīxià shū.,Vui lòng giúp tôi cầm sách một chút.
164,奶奶,nǎinai,bà nội,我奶奶住在乡下。,Wǒ nǎinai zhù zài xiāngxià.,Bà nội của tôi sống ở quê.
165,南,nán,phía nam,我们往南走。,Wǒmen wǎng nán zǒu.,Chúng ta đi về hướng nam.
166,难,nán,khó,这个问题很难。,Zhège wèntí hěn nán.,Vấn đề này rất khó.
167,难过,nánguò,buồn,他听到这个消息很难过。,Tā tīngdào zhège xiāoxi hěn nánguò.,Anh ấy rất buồn khi nghe tin này.
168,年级,niánjí,"lớp, năm học",我今年上三年级。,Wǒ jīnnián shàng sān niánjí.,Năm nay tôi học lớp ba.
169,年轻,niánqīng,trẻ,她很年轻。,Tā hěn niánqīng.,Cô ấy rất trẻ.
170,鸟,niǎo,chim,树上有很多鸟。,Shù shàng yǒu hěn duō niǎo.,Trên cây có nhiều chim.
171,努力,nǔlì,"nỗ lực, chăm chỉ",他学习很努力。,Tā xuéxí hěn nǔlì.,Anh ấy học rất chăm chỉ.
172,爬山,páshān,leo núi,周末我们去爬山吧。,Zhōumò wǒmen qù páshān ba.,Cuối tuần chúng ta đi leo núi nhé.
173,盘子,pánzi,đĩa,请把盘子放在桌子上。,Qǐng bǎ pánzi fàng zài zhuōzi shàng.,Vui lòng đặt đĩa lên bàn.
174,胖,pàng,béo,这个小孩有点儿胖。,Zhège xiǎohái yǒudiǎnr pàng.,Đứa trẻ này hơi mập.
175,啤酒,píjiǔ,bia,我不喝啤酒。,Wǒ bù hē píjiǔ.,Tôi không uống bia.
176,葡萄,pútao,nho,我喜欢吃葡萄。,Wǒ xǐhuān chī pútáo.,Tôi thích ăn nho.
177,普通话,pǔtōnghuà,tiếng Phổ thông (tiếng Trung chuẩn),他说普通话说得很流利。,Tā shuō Pǔtōnghuà shuō de hěn liúlì.,Anh ấy nói tiếng Phổ thông rất lưu loát.
178,骑,qí,"cưỡi, đi (xe đạp, xe máy)",我喜欢骑自行车。,Wǒ xǐhuān qí zìxíngchē.,Tôi thích đi xe đạp.
179,其实,qíshí,thực ra,其实我不太喜欢吃辣。,Qíshí wǒ bù tài xǐhuān chī là.,Thật ra tôi không thích ăn cay lắm.
180,其他,qítā,khác,其他人都已经走了。,Qítā rén dōu yǐjīng zǒu le.,Những người khác đều đã đi rồi.
181,奇怪,qíguài,kỳ lạ,这个事情很奇怪。,Zhège shìqíng hěn qíguài.,Chuyện này rất kỳ lạ.
182,铅笔,qiānbǐ,bút chì,我需要一支铅笔。,Wǒ xūyào yī zhī qiānbǐ.,Tôi cần một cây bút chì.
183,清楚,qīngchǔ,rõ ràng,我不太清楚他的名字。,Wǒ bù tài qīngchǔ tā de míngzi.,Tôi không rõ tên của anh ấy lắm.
184,秋,qiū,mùa thu,秋天是我最喜欢的季节。,Qiūtiān shì wǒ zuì xǐhuān de jìjié.,Mùa thu là mùa tôi thích nhất.
185,裙子,qúnzi,váy,她穿了一条红色的裙子。,Tā chuān le yī tiáo hóngsè de qúnzi.,Cô ấy mặc một chiếc váy đỏ.
186,然后,ránhòu,sau đó,我们吃完饭然后去看电影。,Wǒmen chī wán fàn ránhòu qù kàn diànyǐng.,Chúng tôi ăn xong rồi đi xem phim.
187,热情,rèqíng,nhiệt tình,他对人很热情。,Tā duì rén hěn rèqíng.,Anh ấy rất nhiệt tình với mọi người.
188,认为,rènwéi,cho rằng,我认为他是对的。,Wǒ rènwéi tā shì duì de.,Tôi cho rằng anh ấy đúng.
189,认真,rènzhēn,nghiêm túc,她学习很认真。,Tā xuéxí hěn rènzhēn.,Cô ấy học rất chăm chỉ.
190,容易,róngyì,dễ dàng,这个问题很容易解决。,Zhège wèntí hěn róngyì jiějué.,Vấn đề này rất dễ giải quyết.
191,如果,rúguǒ,nếu như,如果你有时间，请来我家。,"Rúguǒ nǐ yǒu shíjiān, qǐng lái wǒ jiā.","Nếu bạn có thời gian, xin hãy đến nhà tôi."
192,伞,sǎn,"ô, dù",下雨了，带上伞吧。,"Xiàyǔ le, dài shàng sǎn ba.","Trời mưa rồi, mang ô đi nhé."
193,上网,shàngwǎng,lên mạng,我喜欢上网看新闻。,Wǒ xǐhuān shàngwǎng kàn xīnwén.,Tôi thích lên mạng đọc tin tức.
194,生气,shēngqì,giận dữ,她生气了，因为你迟到了。,"Tā shēngqì le, yīnwèi nǐ chídào le.",Cô ấy tức giận vì bạn đến muộn.
195,声音,shēngyīn,âm thanh,我听不到他的声音。,Wǒ tīng bú dào tā de shēngyīn.,Tôi không nghe thấy giọng của anh ấy.
196,使,shǐ,"khiến, làm cho",他使我非常生气。,Tā shǐ wǒ fēicháng shēngqì.,Anh ất làm tôi cực kỳ tức giận.
197,世界,shìjiè,thế giới,世界很大。,Shìjiè hěn dà.,Thế giới rất rộng lớn.
198,瘦,shòu,gầy,我觉得他越来越瘦了。,Wǒ juéde tā yuè lái yuè shòu le.,Tôi cảm thấy anh ấy ngày càng gầy.
199,舒服,shūfu,thoải mái,这张椅子很舒服。,Zhè zhāng yǐzi hěn shūfu.,Cái ghế này rất thoải mái.
200,叔叔,shūshu,chú,我的叔叔很高。,Wǒ de shūshu hěn gāo.,Chú của tôi rất cao.
201,树,shù,cây,树上的鸟在唱歌。,Shù shàng de niǎo zài chànggē.,Con chim trên cây đang hót.
202,数学,shùxué,toán học,他数学很好。,Tā shùxué hěn hǎo.,Anh ấy giỏi toán.
203,刷牙,shuāyá,đánh răng,我每天刷两次牙。,Wǒ měitiān shuā liǎng cì yá .,Tôi đánh răng hai lần mỗi ngày.
204,双,shuāng,đôi,我买了一双鞋。,Wǒ mǎi le yī shuāng xié.,Tôi đã mua một đôi giày.
205,水平,shuǐpíng,trình độ,他的游泳水平很高。,Tā de yóuyǒng shuǐpíng hěn gāo.,Trình độ bơi của anh ấy rất cao.
206,司机,sījī,"lái xe, tài xế",他是我们的司机。,Tā shì wǒmen de sījī.,Anh ấy là tài xế của chúng tôi.
207,虽然,suīrán,tuy rằng,虽然他很忙，但他还是来了。,"Suīrán tā hěn máng, dàn tā háishì lái le.","Mặc dù anh ấy rất bận, nhưng anh ấy vẫn đến."
208,太阳,tàiyáng,mặt trời,太阳出来了。,Tàiyáng chū lái le.,Mặt trời đã mọc.
209,糖,táng,"kẹo, đường",我不喜欢吃糖。,Wǒ bù xǐhuān chī táng.,Tôi không thích ăn kẹo.
210,特别,tèbié,đặc biệt,他特别喜欢跑步。,Tā tèbié xǐhuān pǎobù.,Anh ấy đặc biệt thích chạy bộ.
211,疼,téng,đau,我的头很疼。,Wǒ de tóu hěn téng.,Đầu tôi rất đau.
212,提高,tígāo,nâng cao,我们要提高汉语水平。,Wǒmen yào tígāo hànyǔ shuǐpíng.,Chúng ta cần nâng cao trình độ tiếng Trung.
213,体育,tǐyù,"thể dục, thể thao",我喜欢体育运动。,Wǒ xǐhuān tǐyù yùndòng.,Tôi thích các hoạt động thể thao.
214,甜,tián,ngọt,这个蛋糕很甜。,Zhège dàngāo hěn tián.,Cái bánh này rất ngọt.
215,条,tiáo,"sợi, cái",他买了一条裤子。,Tā mǎi le yī tiáo kùzi.,Anh ấy đã mua một chiếc quần.
216,同事,tóngshì,đồng nghiệp,他是我的同事。,Tā shì wǒ de tóngshì.,Anh ấy là đồng nghiệp của tôi.
217,同意,tóngyì,đồng ý,我同意你的看法。,Wǒ tóngyì nǐ de kànfǎ.,Tôi đồng ý với quan điểm của bạn.
218,头发,tóufa,tóc,她的头发很长。,Tā de tóufa hěn cháng.,Tóc của cô ấy rất dài.
219,突然,tūrán,đột nhiên,他突然离开了。,Tā tūrán líkāi le.,Anh ấy đột nhiên rời đi.
220,图书馆,túshūguǎn,thư viện,我们去图书馆看书吧。,Wǒmen qù túshūguǎn kànshū ba.,Chúng ta đến thư viện đọc sách nhé.
221,腿,tuǐ,chân,他的腿很长。,Tā de tuǐ hěn cháng.,Chân của anh ấy rất dài.
222,完成,wánchéng,hoàn thành,我完成了作业。,Wǒ wánchéng le zuòyè.,Tôi đã hoàn thành bài tập.
223,碗,wǎn,bát,他吃了三碗饭。,Tā chī le sān wǎn fàn.,Anh ấy đã ăn ba bát cơm.
224,万,wàn,"vạn, mười nghìn",一万个人参加了比赛。,Yī wàn gè rén cānjiā le bǐsài.,Mười nghìn người đã tham gia cuộc thi.
225,忘记,wàngjì,quên,请不要忘记带书。,Qǐng bùyào wàngjì dài shū.,Vui lòng đừng quên mang sách.
226,位,wèi,"vị, ngài",请坐在这位先生旁边。,Qǐng zuò zài zhè wèi xiānshēng pángbiān.,Xin ngồi bên cạnh ông này.
227,为,wèi,vì,我为你感到骄傲。,Wǒ wèi nǐ gǎndào jiāo'ào.,Tôi tự hào về bạn.
228,为了,wèile,"để, vì",我来中国是为了学习汉语。,Wǒ lái Zhōngguó shì wèile xuéxí hànyǔ .,Tôi đến Trung Quốc để học tiếng Trung.
229,文化,wénhuà,văn hóa,他对中国文化很感兴趣。,Tā duì Zhōngguó wénhuà hěn gǎn xìngqù.,Anh ấy rất quan tâm đến văn hóa Trung Quốc.
230,西,xī,phía tây,我住在西边。,Wǒ zhù zài xībiān.,Tôi sống ở phía tây.
231,习惯,xíguàn,thói quen,他习惯早起。,Tā xíguàn zǎoqǐ.,Anh ấy quen dậy sớm.
232,洗手间,xǐshǒujiān,nhà vệ sinh,洗手间在那边。,Xǐshǒujiān zài nà biān.,Nhà vệ sinh ở đằng kia.
233,洗澡,xǐzǎo,tắm,我每天早上都洗澡。,Wǒ měitiān zǎoshang dōu xǐzǎo.,Tôi đều tắm vào mỗi buổi sáng.
234,喜欢,xǐhuān,thích,我喜欢这个颜色。,Wǒ xǐhuān zhège yánsè.,Tôi thích màu này.
235,现在,xiànzài,hiện,现在是八点。,Xiànzài shì bā diǎn.,Bây giờ là tám giờ.
236,香蕉,xiāngjiāo,chuối,香蕉是黄色的。,Xiāngjiāo shì huángsè de.,Chuối có màu vàng.
237,相同,xiāngtóng,giống nhau,我们的看法相同。,Wǒmen de kànfǎ xiāngtóng.,Quan điểm của chúng tôi giống nhau.
238,相信,xiāngxìn,tin tưởng,我相信他的话。,Wǒ xiāngxìn tā de huà.,Tôi tin lời anh ấy.
239,像,xiàng,giống,他像他爸爸一样高。,Tā xiàng tā bàba yīyàng gāo.,Anh ấy cao giống như bố của mình.
240,小心,xiǎoxīn,cẩn thận,请小心地走路。,Qǐng xiǎoxīn de zǒulù.,Vui lòng đi bộ cẩn thận.
241,校长,xiàozhǎng,hiệu trưởng,校长在办公室工作。,Xiàozhǎng zài bàngōngshì gōngzuò.,Hiệu trưởng làm việc trong văn phòng.
242,鞋,xié,giày,我买了一双新鞋。,Wǒ mǎi le yī shuāng xīn xié.,Tôi đã mua một đôi giày mới.
243,新闻,xīnwén,tin tức,我每天都看新闻。,Wǒ měitiān dōu kàn xīnwén.,Tôi xem tin tức mỗi ngày.
244,新鲜,xīnxiān,tươi mới,这些水果很新鲜。,Zhèxiē shuǐguǒ hěn xīnxiān.,Những loại trái cây này rất tươi.
245,信,xìn,"thư, tin tưởng",我给你写了一封信。,Wǒ gěi nǐ xiě le yī fēng xìn.,Tôi đã viết cho bạn một bức thư.
246,行李箱,xínglǐxiāng,vali,我的行李箱很重。,Wǒ de xínglǐxiāng hěn zhòng.,Vali của tôi rất nặng.
247,兴趣,xìngqù,hứng thú,我对中国文化有兴趣。,Wǒ duì Zhōngguó wénhuà yǒu xìngqù.,Tôi có hứng thú với văn hóa Trung Quốc.
248,熊猫,xióngmāo,gấu trúc,熊猫是中国的国宝。,Xióngmāo shì Zhōngguó de guóbǎo.,Gấu trúc là báu vật quốc gia của Trung Quốc.
249,需要,xūyào,cần,我需要一杯水。,Wǒ xūyào yī bēi shuǐ.,Tôi cần một cốc nước.
250,选择,xuǎnzé,lựa chọn,你可以选择一个礼物。,Nǐ kěyǐ xuǎnzé yī gè lǐwù.,Bạn có thể chọn một món quà.
251,眼镜,yǎnjìng,kính,他戴着一副眼镜。,Tā dài zhe yī fù yǎnjìng.,Anh ấy đang đeo một chiếc kính.
252,要求,yāoqiú,yêu cầu,老师对学生有很高的要求。,Lǎoshī duì xuéshēng yǒu hěn gāo de yāoqiú.,Giáo viên có yêu cầu rất cao đối với học sinh.
253,爷爷,yéye,ông nội,我爷爷很喜欢看书。,Wǒ yéye hěn xǐhuān kàn shū.,Ông của tôi rất thích đọc sách.
254,一定,yīdìng,nhất định,我一定会努力学习。,Wǒ yídìng huì nǔlì xuéxí.,Tôi chắc chắn sẽ học chăm chỉ.
255,一共,yīgòng,tổng cộng,我们一共有五个人。,Wǒmen yígòng yǒu wǔ gè rén.,Chúng tôi có tổng cộng năm người.
256,一会儿,yīhuìr,một lát,请等我一会儿。,Qǐng děng wǒ yíhuìr.,Xin hãy đợi tôi một lát.
257,一样,yīyàng,giống nhau,他们和我们一样高。,Tāmen hé wǒmen yīyàng gāo.,Họ cao bằng chúng tôi.
258,以后,yǐhòu,sau này,我以后再来。,Wǒ yǐhòu zài lái.,Tôi sẽ đến sau.
259,以前,yǐqián,trước đây,我以前住在北京。,Wǒ yǐqián zhù zài Běijīng.,Tôi đã từng sống ở Bắc Kinh.
260,以为,yǐwéi,cho rằng,我以为你不来了。,Wǒ yǐwéi nǐ bù lái le.,Tôi tưởng rằng bạn không đến.
261,一般,yībān,thông thường,这个饭馆很一般。,Zhège fànguǎn hěn yībān.,Nhà hàng này rất bình thường.
262,一边,yībiān,vừa ... vừa ...,他一边吃饭一边看电视。,Tā yìbiān chīfàn yìbiān kàn diànshì.,Anh ấy vừa ăn vừa xem TV.
263,一直,yīzhí,luôn luôn,他一直在学习。,Tā yìzhí zài xuéxí.,Anh ấy luôn luôn học tập.
264,音乐,yīnyuè,âm nhạc,我喜欢听音乐。,Wǒ xǐhuān tīng yīnyuè.,Tôi thích nghe nhạc.
265,银行,yínháng,ngân hàng,我去银行取钱。,Wǒ qù yínháng qǔ qián.,Tôi đến ngân hàng rút tiền.
266,应该,yīnggāi,nên,你应该多休息。,Nǐ yīnggāi duō xiūxí.,Bạn nên nghỉ ngơi nhiều hơn.
267,影响,yǐngxiǎng,ảnh hưởng,这个电影对我影响很大。,Zhège diànyǐng duì wǒ yǐngxiǎng hěn dà.,Bộ phim này có ảnh hưởng lớn đối với tôi.
268,用,yòng,dùng,请不要用手机。,Qǐng bùyào yòng shǒujī.,Vui lòng không sử dụng điện thoại.
269,游戏,yóuxì,trò chơi,我喜欢玩游戏。,Wǒ xǐhuān wán yóuxì.,Tôi thích chơi trò chơi.
270,又,yòu,"lại, vừa",他又来了。,Tā yòu lái le.,Anh ấy lại đến.
271,有名,yǒumíng,nổi tiếng,他是一个有名的歌手。,Tā shì yī gè yǒumíng de gēshǒu.,Anh ấy là một ca sĩ nổi tiếng.
272,遇到,yùdào,gặp phải,我在路上遇到他了。,Wǒ zài lùshàng yùdào tā le.,Tôi đã gặp anh ấy trên đường.
273,月亮,yuèliàng,mặt trăng,今天晚上的月亮很圆。,Jīntiān wǎnshang de yuèliàng hěn yuán.,Trăng tối nay rất tròn.
274,云,yún,mây,天上的云很美。,Tiānshàng de yún hěn měi.,Mây trên trời rất đẹp.
275,站,zhàn,"đứng, trạm",请站在这儿。,Qǐng zhàn zài zhèr.,Xin hãy đứng ở đây.
276,长,zhǎng,dài,他长得很高。,Tā zhǎng de hěn gāo.,Anh ấy cao.
277,着急,zhāojí,lo lắng,他很着急。,Tā hěn zhāojí.,Anh ấy rất lo lắng.
278,照顾,zhàogu,chăm sóc,我会照顾你。,Wǒ huì zhàogù nǐ.,Tôi sẽ chăm sóc bạn.
279,照片,zhàopiàn,bức ảnh,这张照片很好看。,Zhè zhāng zhàopiàn hěn hǎokàn.,Bức ảnh này rất đẹp.
280,照相机,zhàoxiàngjī,máy ảnh,我有一台新的照相机。,Wǒ yǒu yī tái xīn de zhàoxiàngjī.,Tôi có một chiếc máy ảnh mới.
281,只,zhǐ,chỉ,我只吃了一点儿。,Wǒ zhǐ chī le yīdiǎnr.,Tôi chỉ ăn một chút.
282,中间,zhōngjiān,ở giữa,他站在房间的中间。,Tā zhàn zài fángjiān de zhōngjiān.,Anh ấy đứng ở giữa phòng.
283,终于,zhōngyú,cuối cùng,我终于完成了作业。,Wǒ zhōngyú wánchéng le zuòyè.,Cuối cùng tôi đã hoàn thành bài tập.
284,种,zhǒng,"loại, hạt giống",他喜欢这种花。,Tā xǐhuān zhè zhǒng huā.,Anh ấy thích loại hoa này.
285,重要,zhòngyào,quan trọng,这件事很重要。,Zhè jiàn shì hěn zhòngyào.,Việc này rất quan trọng.
286,主要,zhǔyào,chủ yếu,主要问题是时间不够。,Zhǔyào wèntí shì shíjiān bù gòu.,Vấn đề chính là không đủ thời gian.
287,周末,zhōumò,cuối tuần,周末我去公园玩。,Zhōumò wǒ qù gōngyuán wán.,Cuối tuần tôi đi công viên chơi.
288,祝,zhù,chúc,祝你生日快乐。,Zhù nǐ shēngrì kuàilè.,Chúc bạn sinh nhật vui vẻ.
289,注意,zhùyì,chú ý,请注意安全。,Qǐng zhùyì ānquán.,Vui lòng chú ý an toàn.
290,字典,zìdiǎn,từ điển,我需要一本字典。,Wǒ xūyào yī běn zìdiǎn.,Tôi cần một quyển từ điển.
291,自己,zìjǐ,bản thân,这是我自己的问题。,Zhè shì wǒ zìjǐ de wèntí.,Đây là vấn đề của chính tôi.
292,总是,zǒngshì,luôn luôn,他总是很忙。,Tā zǒngshì hěn máng.,Anh ấy luôn luôn bận rộn.
293,最近,zuìjìn,gần đây,最近我很忙。,Zuìjìn wǒ hěn máng.,Gần đây tôi rất bận.
294,作业,zuòyè,bài tập về nhà,我已经做完作业了。,Wǒ yǐjīng zuò wán zuòyè le.,Tôi đã làm xong bài tập.
295,作用,zuòyòng,tác dụng,这个词的作用是什么？,Zhège cí de zuòyòng shì shénme?,Tác dụng của từ này là gì?
